PROJ,PROJ Description
epsg:2839,NAD83(HARN) / Oregon South
epsg:2840,NAD83(HARN) / Rhode Island
epsg:2841,NAD83(HARN) / South Dakota North
epsg:2842,NAD83(HARN) / South Dakota South
epsg:2843,NAD83(HARN) / Tennessee
epsg:2844,NAD83(HARN) / Texas North
epsg:2845,NAD83(HARN) / Texas North Central
epsg:2846,NAD83(HARN) / Texas Central
epsg:2847,NAD83(HARN) / Texas South Central
epsg:2848,NAD83(HARN) / Texas South
epsg:2849,NAD83(HARN) / Utah North
epsg:2850,NAD83(HARN) / Utah Central
epsg:2851,NAD83(HARN) / Utah South
epsg:2852,NAD83(HARN) / Vermont
epsg:2853,NAD83(HARN) / Virginia North
epsg:2854,NAD83(HARN) / Virginia South
epsg:2855,NAD83(HARN) / Washington North
epsg:2856,NAD83(HARN) / Washington South
epsg:2857,NAD83(HARN) / West Virginia North
epsg:2858,NAD83(HARN) / West Virginia South
epsg:2859,NAD83(HARN) / Wisconsin North
epsg:2860,NAD83(HARN) / Wisconsin Central
epsg:2861,NAD83(HARN) / Wisconsin South
epsg:2862,NAD83(HARN) / Wyoming East
epsg:2863,NAD83(HARN) / Wyoming East Central
epsg:2864,NAD83(HARN) / Wyoming West Central
epsg:2865,NAD83(HARN) / Wyoming West
epsg:2866,NAD83(HARN) / Puerto Rico and Virgin Is.
epsg:2867,NAD83(HARN) / Arizona East (ft)
epsg:2868,NAD83(HARN) / Arizona Central (ft)
epsg:2869,NAD83(HARN) / Arizona West (ft)
epsg:2870,NAD83(HARN) / California zone 1 (ftUS)
epsg:2871,NAD83(HARN) / California zone 2 (ftUS)
epsg:2872,NAD83(HARN) / California zone 3 (ftUS)
epsg:2873,NAD83(HARN) / California zone 4 (ftUS)
epsg:2874,NAD83(HARN) / California zone 5 (ftUS)
epsg:2875,NAD83(HARN) / California zone 6 (ftUS)
epsg:2876,NAD83(HARN) / Colorado North (ftUS)
epsg:2877,NAD83(HARN) / Colorado Central (ftUS)
epsg:2878,NAD83(HARN) / Colorado South (ftUS)
epsg:2879,NAD83(HARN) / Connecticut (ftUS)
epsg:2880,NAD83(HARN) / Delaware (ftUS)
epsg:2881,NAD83(HARN) / Florida East (ftUS)
epsg:2882,NAD83(HARN) / Florida West (ftUS)
epsg:2883,NAD83(HARN) / Florida North (ftUS)
epsg:2884,NAD83(HARN) / Georgia East (ftUS)
epsg:2885,NAD83(HARN) / Georgia West (ftUS)
epsg:2886,NAD83(HARN) / Idaho East (ftUS)
epsg:2887,NAD83(HARN) / Idaho Central (ftUS)
epsg:2888,NAD83(HARN) / Idaho West (ftUS)
epsg:2889,NAD83(HARN) / Indiana East (ftUS)
epsg:2890,NAD83(HARN) / Indiana West (ftUS)
epsg:2891,NAD83(HARN) / Kentucky North (ftUS)
epsg:2892,NAD83(HARN) / Kentucky South (ftUS)
epsg:2893,NAD83(HARN) / Maryland (ftUS)
epsg:2894,NAD83(HARN) / Massachusetts Mainland (ftUS)
epsg:2895,NAD83(HARN) / Massachusetts Island (ftUS)
epsg:2896,NAD83(HARN) / Michigan North (ft)
epsg:2897,NAD83(HARN) / Michigan Central (ft)
epsg:2898,NAD83(HARN) / Michigan South (ft)
epsg:2899,NAD83(HARN) / Mississippi East (ftUS)
epsg:2900,NAD83(HARN) / Mississippi West (ftUS)
epsg:2901,NAD83(HARN) / Montana (ft)
epsg:2902,NAD83(HARN) / New Mexico East (ftUS)
epsg:2903,NAD83(HARN) / New Mexico Central (ftUS)
epsg:2904,NAD83(HARN) / New Mexico West (ftUS)
epsg:2905,NAD83(HARN) / New York East (ftUS)
epsg:2906,NAD83(HARN) / New York Central (ftUS)
epsg:2907,NAD83(HARN) / New York West (ftUS)
epsg:2908,NAD83(HARN) / New York Long Island (ftUS)
epsg:2909,NAD83(HARN) / North Dakota North (ft)
epsg:2910,NAD83(HARN) / North Dakota South (ft)
epsg:2911,NAD83(HARN) / Oklahoma North (ftUS)
epsg:2912,NAD83(HARN) / Oklahoma South (ftUS)
epsg:2913,NAD83(HARN) / Oregon North (ft)
epsg:2914,NAD83(HARN) / Oregon South (ft)
epsg:2915,NAD83(HARN) / Tennessee (ftUS)
epsg:2916,NAD83(HARN) / Texas North (ftUS)
epsg:2917,NAD83(HARN) / Texas North Central (ftUS)
epsg:2918,NAD83(HARN) / Texas Central (ftUS)
epsg:2919,NAD83(HARN) / Texas South Central (ftUS)
epsg:2920,NAD83(HARN) / Texas South (ftUS)
epsg:2921,NAD83(HARN) / Utah North (ft)
epsg:2922,NAD83(HARN) / Utah Central (ft)
epsg:2923,NAD83(HARN) / Utah South (ft)
epsg:2924,NAD83(HARN) / Virginia North (ftUS)
epsg:2925,NAD83(HARN) / Virginia South (ftUS)
epsg:2926,NAD83(HARN) / Washington North (ftUS)
epsg:2927,NAD83(HARN) / Washington South (ftUS)
epsg:2928,NAD83(HARN) / Wisconsin North (ftUS)
epsg:2929,NAD83(HARN) / Wisconsin Central (ftUS)
epsg:2930,NAD83(HARN) / Wisconsin South (ftUS)
epsg:2965,NAD83 / Indiana East (ftUS)
epsg:2966,NAD83 / Indiana West (ftUS)
epsg:2967,NAD83(HARN) / Indiana East (ftUS)
epsg:2968,NAD83(HARN) / Indiana West (ftUS)
epsg:2991,NAD83 / Oregon Lambert
epsg:2992,NAD83 / Oregon Lambert (ft)
epsg:2993,NAD83(HARN) / Oregon Lambert
epsg:2994,NAD83(HARN) / Oregon Lambert (ft)
epsg:3005,NAD83 / BC Albers
epsg:3070,NAD83 / Wisconsin Transverse Mercator
epsg:3071,NAD83(HARN) / Wisconsin Transverse Mercator
epsg:3072,NAD83 / Maine CS2000 East
epsg:3073,NAD83 / Maine CS2000 Central
epsg:3074,NAD83 / Maine CS2000 West
epsg:3075,NAD83(HARN) / Maine CS2000 East
epsg:3076,NAD83(HARN) / Maine CS2000 Central
epsg:3077,NAD83(HARN) / Maine CS2000 West
epsg:3078,NAD83 / Michigan Oblique Mercator
epsg:3079,NAD83(HARN) / Michigan Oblique Mercator
epsg:3081,NAD83 / Texas State Mapping System
epsg:3082,NAD83 / Texas Centric Lambert Conformal
epsg:3083,NAD83 / Texas Centric Albers Equal Area
epsg:3084,NAD83(HARN) / Texas Centric Lambert Conformal
epsg:3085,NAD83(HARN) / Texas Centric Albers Equal Area
epsg:3086,NAD83 / Florida GDL Albers
epsg:3087,NAD83(HARN) / Florida GDL Albers
epsg:3088,NAD83 / Kentucky Single Zone
epsg:3089,NAD83 / Kentucky Single Zone (ftUS)
epsg:3090,NAD83(HARN) / Kentucky Single Zone
epsg:3091,NAD83(HARN) / Kentucky Single Zone (ftUS)
epsg:3153,NAD83(CSRS) / BC Albers
epsg:3310,NAD83 / California Albers
epsg:3311,NAD83(HARN) / California Albers
epsg:3338,NAD83 / Alaska Albers
epsg:3347,NAD83 / Statistics Canada Lambert
epsg:3348,NAD83(CSRS) / Statistics Canada Lambert
epsg:3358,NAD83(HARN) / North Carolina
epsg:3359,NAD83(HARN) / North Carolina (ftUS)
epsg:3360,NAD83(HARN) / South Carolina
epsg:3361,NAD83(HARN) / South Carolina (ft)
epsg:3362,NAD83(HARN) / Pennsylvania North
epsg:3363,NAD83(HARN) / Pennsylvania North (ftUS)
epsg:3364,NAD83(HARN) / Pennsylvania South
epsg:3365,NAD83(HARN) / Pennsylvania South (ftUS)
epsg:3400,NAD83 / Alberta 10-TM (Forest)
epsg:3401,NAD83 / Alberta 10-TM (Resource)
epsg:3402,NAD83(CSRS) / Alberta 10-TM (Forest)
epsg:3403,NAD83(CSRS) / Alberta 10-TM (Resource)
epsg:3404,NAD83(HARN) / North Carolina (ftUS)
epsg:3417,NAD83 / Iowa North (ft US)
epsg:3418,NAD83 / Iowa South (ft US)
epsg:3419,NAD83 / Kansas North (ft US)
epsg:3420,NAD83 / Kansas South (ft US)
epsg:3421,NAD83 / Nevada East (ft US)
epsg:3422,NAD83 / Nevada Central (ft US)
epsg:3423,NAD83 / Nevada West (ft US)
epsg:3424,NAD83 / New Jersey (ft US)
epsg:3425,NAD83(HARN) / Iowa North (ft US)
epsg:3426,NAD83(HARN) / Iowa South (ft US)
epsg:3427,NAD83(HARN) / Kansas North (ft US)
epsg:3428,NAD83(HARN) / Kansas South (ft US)
epsg:3429,NAD83(HARN) / Nevada East (ft US)
epsg:3430,NAD83(HARN) / Nevada Central (ft US)
epsg:3431,NAD83(HARN) / Nevada West (ft US)
epsg:3432,NAD83(HARN) / New Jersey (ft US)
epsg:3433,NAD83 / Arkansas North (ftUS)
epsg:3434,NAD83 / Arkansas South (ftUS)
epsg:3435,NAD83 / Illinois East (ftUS)
epsg:3436,NAD83 / Illinois West (ftUS)
epsg:3437,NAD83 / New Hampshire (ftUS)
epsg:3438,NAD83 / Rhode Island (ftUS)
epsg:3441,NAD83(HARN) / Arkansas North (ftUS)
epsg:3442,NAD83(HARN) / Arkansas South (ftUS)
epsg:3443,NAD83(HARN) / Illinois East (ftUS)
epsg:3444,NAD83(HARN) / Illinois West (ftUS)
epsg:3445,NAD83(HARN) / New Hampshire (ftUS)
epsg:3446,NAD83(HARN) / Rhode Island (ftUS)
epsg:3451,NAD83 / Louisiana North (ftUS)
epsg:3452,NAD83 / Louisiana South (ftUS)
epsg:3453,NAD83 / Louisiana Offshore (ftUS)
epsg:3454,NAD83 / South Dakota North (ftUS)
epsg:3455,NAD83 / South Dakota South (ftUS)
epsg:3456,NAD83(HARN) / Louisiana North (ftUS)
epsg:3457,NAD83(HARN) / Louisiana South (ftUS)
epsg:3458,NAD83(HARN) / South Dakota North (ftUS)
epsg:3459,NAD83(HARN) / South Dakota South (ftUS)
epsg:3463,NAD83 / Maine CS2000 Central
epsg:3464,NAD83(HARN) / Maine CS2000 Central
epsg:3465,NAD83(NSRS2007) / Alabama East
epsg:3466,NAD83(NSRS2007) / Alabama West
epsg:3467,NAD83(NSRS2007) / Alaska Albers
epsg:3468,NAD83(NSRS2007) / Alaska zone 1
epsg:3469,NAD83(NSRS2007) / Alaska zone 2
epsg:3470,NAD83(NSRS2007) / Alaska zone 3
epsg:3471,NAD83(NSRS2007) / Alaska zone 4
epsg:3472,NAD83(NSRS2007) / Alaska zone 5
epsg:3473,NAD83(NSRS2007) / Alaska zone 6
epsg:3474,NAD83(NSRS2007) / Alaska zone 7
epsg:3475,NAD83(NSRS2007) / Alaska zone 8
epsg:3476,NAD83(NSRS2007) / Alaska zone 9
epsg:3477,NAD83(NSRS2007) / Alaska zone 10
epsg:3478,NAD83(NSRS2007) / Arizona Central
epsg:3479,NAD83(NSRS2007) / Arizona Central (ft)
epsg:3480,NAD83(NSRS2007) / Arizona East
epsg:3481,NAD83(NSRS2007) / Arizona East (ft)
epsg:3482,NAD83(NSRS2007) / Arizona West
epsg:3483,NAD83(NSRS2007) / Arizona West (ft)
epsg:3484,NAD83(NSRS2007) / Arkansas North
epsg:3485,NAD83(NSRS2007) / Arkansas North (ftUS)
epsg:3486,NAD83(NSRS2007) / Arkansas South
epsg:3487,NAD83(NSRS2007) / Arkansas South (ftUS)
epsg:3488,NAD83(NSRS2007) / California Albers
epsg:3489,NAD83(NSRS2007) / California zone 1
epsg:3490,NAD83(NSRS2007) / California zone 1 (ftUS)
epsg:3491,NAD83(NSRS2007) / California zone 2
epsg:3492,NAD83(NSRS2007) / California zone 2 (ftUS)
epsg:3493,NAD83(NSRS2007) / California zone 3
epsg:3494,NAD83(NSRS2007) / California zone 3 (ftUS)
epsg:3495,NAD83(NSRS2007) / California zone 4
epsg:3496,NAD83(NSRS2007) / California zone 4 (ftUS)
epsg:3497,NAD83(NSRS2007) / California zone 5
epsg:3498,NAD83(NSRS2007) / California zone 5 (ftUS)
epsg:3499,NAD83(NSRS2007) / California zone 6
epsg:3500,NAD83(NSRS2007) / California zone 6 (ftUS)
epsg:3501,NAD83(NSRS2007) / Colorado Central
epsg:3502,NAD83(NSRS2007) / Colorado Central (ftUS)
epsg:3503,NAD83(NSRS2007) / Colorado North
epsg:3504,NAD83(NSRS2007) / Colorado North (ftUS)
epsg:3505,NAD83(NSRS2007) / Colorado South
epsg:3506,NAD83(NSRS2007) / Colorado South (ftUS)
epsg:3507,NAD83(NSRS2007) / Connecticut
epsg:3508,NAD83(NSRS2007) / Connecticut (ftUS)
epsg:3509,NAD83(NSRS2007) / Delaware
epsg:3510,NAD83(NSRS2007) / Delaware (ftUS)
epsg:3511,NAD83(NSRS2007) / Florida East
epsg:3512,NAD83(NSRS2007) / Florida East (ftUS)
epsg:3513,NAD83(NSRS2007) / Florida GDL Albers
epsg:3514,NAD83(NSRS2007) / Florida North
epsg:3515,NAD83(NSRS2007) / Florida North (ftUS)
epsg:3516,NAD83(NSRS2007) / Florida West
epsg:3517,NAD83(NSRS2007) / Florida West (ftUS)
epsg:3518,NAD83(NSRS2007) / Georgia East
epsg:3519,NAD83(NSRS2007) / Georgia East (ftUS)
epsg:3520,NAD83(NSRS2007) / Georgia West
epsg:3521,NAD83(NSRS2007) / Georgia West (ftUS)
epsg:3522,NAD83(NSRS2007) / Idaho Central
epsg:3523,NAD83(NSRS2007) / Idaho Central (ftUS)
epsg:3524,NAD83(NSRS2007) / Idaho East
epsg:3525,NAD83(NSRS2007) / Idaho East (ftUS)
epsg:3526,NAD83(NSRS2007) / Idaho West
epsg:3527,NAD83(NSRS2007) / Idaho West (ftUS)
epsg:3528,NAD83(NSRS2007) / Illinois East
epsg:3529,NAD83(NSRS2007) / Illinois East (ftUS)
epsg:3530,NAD83(NSRS2007) / Illinois West
epsg:3531,NAD83(NSRS2007) / Illinois West (ftUS)
epsg:3532,NAD83(NSRS2007) / Indiana East
epsg:3533,NAD83(NSRS2007) / Indiana East (ftUS)
epsg:3534,NAD83(NSRS2007) / Indiana West
epsg:3535,NAD83(NSRS2007) / Indiana West (ftUS)
epsg:3536,NAD83(NSRS2007) / Iowa North
epsg:3537,NAD83(NSRS2007) / Iowa North (ft US)
epsg:3538,NAD83(NSRS2007) / Iowa South
epsg:3539,NAD83(NSRS2007) / Iowa South (ft US)
epsg:3540,NAD83(NSRS2007) / Kansas North
epsg:3541,NAD83(NSRS2007) / Kansas North (ft US)
epsg:3542,NAD83(NSRS2007) / Kansas South
epsg:3543,NAD83(NSRS2007) / Kansas South (ft US)
epsg:3544,NAD83(NSRS2007) / Kentucky North
epsg:3545,NAD83(NSRS2007) / Kentucky North (ftUS)
epsg:3546,NAD83(NSRS2007) / Kentucky Single Zone
epsg:3547,NAD83(NSRS2007) / Kentucky Single Zone (ftUS)
epsg:3548,NAD83(NSRS2007) / Kentucky South
epsg:3549,NAD83(NSRS2007) / Kentucky South (ftUS)
epsg:3550,NAD83(NSRS2007) / Louisiana North
epsg:3551,NAD83(NSRS2007) / Louisiana North (ftUS)
epsg:3552,NAD83(NSRS2007) / Louisiana South
epsg:3553,NAD83(NSRS2007) / Louisiana South (ftUS)
epsg:3554,NAD83(NSRS2007) / Maine CS2000 Central
epsg:3555,NAD83(NSRS2007) / Maine CS2000 East
epsg:3556,NAD83(NSRS2007) / Maine CS2000 West
epsg:3557,NAD83(NSRS2007) / Maine East
epsg:3558,NAD83(NSRS2007) / Maine West
epsg:3559,NAD83(NSRS2007) / Maryland
epsg:3560,NAD83 / Utah North (ftUS)
epsg:3566,NAD83 / Utah Central (ftUS)
epsg:3567,NAD83 / Utah South (ftUS)
epsg:3568,NAD83(HARN) / Utah North (ftUS)
epsg:3569,NAD83(HARN) / Utah Central (ftUS)
epsg:3570,NAD83(HARN) / Utah South (ftUS)
epsg:3578,NAD83 / Yukon Albers
epsg:3579,NAD83(CSRS) / Yukon Albers
epsg:3580,NAD83 / NWT Lambert
epsg:3581,NAD83(CSRS) / NWT Lambert
epsg:3582,NAD83(NSRS2007) / Maryland (ftUS)
epsg:3583,NAD83(NSRS2007) / Massachusetts Island
epsg:3584,NAD83(NSRS2007) / Massachusetts Island (ftUS)
epsg:3585,NAD83(NSRS2007) / Massachusetts Mainland
epsg:3586,NAD83(NSRS2007) / Massachusetts Mainland (ftUS)
epsg:3587,NAD83(NSRS2007) / Michigan Central
epsg:3588,NAD83(NSRS2007) / Michigan Central (ft)
epsg:3589,NAD83(NSRS2007) / Michigan North
epsg:3590,NAD83(NSRS2007) / Michigan North (ft)
epsg:3591,NAD83(NSRS2007) / Michigan Oblique Mercator
epsg:3592,NAD83(NSRS2007) / Michigan South
epsg:3593,NAD83(NSRS2007) / Michigan South (ft)
epsg:3594,NAD83(NSRS2007) / Minnesota Central
epsg:3595,NAD83(NSRS2007) / Minnesota North
epsg:3596,NAD83(NSRS2007) / Minnesota South
epsg:3597,NAD83(NSRS2007) / Mississippi East
epsg:3598,NAD83(NSRS2007) / Mississippi East (ftUS)
epsg:3599,NAD83(NSRS2007) / Mississippi West
epsg:3600,NAD83(NSRS2007) / Mississippi West (ftUS)
epsg:3601,NAD83(NSRS2007) / Missouri Central
epsg:3602,NAD83(NSRS2007) / Missouri East
epsg:3603,NAD83(NSRS2007) / Missouri West
epsg:3604,NAD83(NSRS2007) / Montana
epsg:3605,NAD83(NSRS2007) / Montana (ft)
epsg:3606,NAD83(NSRS2007) / Nebraska
epsg:3607,NAD83(NSRS2007) / Nevada Central
epsg:3608,NAD83(NSRS2007) / Nevada Central (ft US)
epsg:3609,NAD83(NSRS2007) / Nevada East
epsg:3610,NAD83(NSRS2007) / Nevada East (ft US)
epsg:3611,NAD83(NSRS2007) / Nevada West
epsg:3612,NAD83(NSRS2007) / Nevada West (ft US)
epsg:3613,NAD83(NSRS2007) / New Hampshire
epsg:3614,NAD83(NSRS2007) / New Hampshire (ftUS)
epsg:3615,NAD83(NSRS2007) / New Jersey
epsg:3616,NAD83(NSRS2007) / New Jersey (ft US)
epsg:3617,NAD83(NSRS2007) / New Mexico Central
epsg:3618,NAD83(NSRS2007) / New Mexico Central (ftUS)
epsg:3619,NAD83(NSRS2007) / New Mexico East
epsg:3620,NAD83(NSRS2007) / New Mexico East (ftUS)
epsg:3621,NAD83(NSRS2007) / New Mexico West
epsg:3622,NAD83(NSRS2007) / New Mexico West (ftUS)
epsg:3623,NAD83(NSRS2007) / New York Central
epsg:3624,NAD83(NSRS2007) / New York Central (ftUS)
epsg:3625,NAD83(NSRS2007) / New York East
epsg:3626,NAD83(NSRS2007) / New York East (ftUS)
epsg:3627,NAD83(NSRS2007) / New York Long Island
epsg:3628,NAD83(NSRS2007) / New York Long Island (ftUS)
epsg:3629,NAD83(NSRS2007) / New York West
epsg:3630,NAD83(NSRS2007) / New York West (ftUS)
epsg:3631,NAD83(NSRS2007) / North Carolina
epsg:3632,NAD83(NSRS2007) / North Carolina (ftUS)
epsg:3633,NAD83(NSRS2007) / North Dakota North
epsg:3634,NAD83(NSRS2007) / North Dakota North (ft)
epsg:3635,NAD83(NSRS2007) / North Dakota South
epsg:3636,NAD83(NSRS2007) / North Dakota South (ft)
epsg:3637,NAD83(NSRS2007) / Ohio North
epsg:3638,NAD83(NSRS2007) / Ohio South
epsg:3639,NAD83(NSRS2007) / Oklahoma North
epsg:3640,NAD83(NSRS2007) / Oklahoma North (ftUS)
epsg:3641,NAD83(NSRS2007) / Oklahoma South
epsg:3642,NAD83(NSRS2007) / Oklahoma South (ftUS)
epsg:3643,NAD83(NSRS2007) / Oregon Lambert
epsg:3644,NAD83(NSRS2007) / Oregon Lambert (ft)
epsg:3645,NAD83(NSRS2007) / Oregon North
epsg:3646,NAD83(NSRS2007) / Oregon North (ft)
epsg:3647,NAD83(NSRS2007) / Oregon South
epsg:3648,NAD83(NSRS2007) / Oregon South (ft)
epsg:3649,NAD83(NSRS2007) / Pennsylvania North
epsg:3650,NAD83(NSRS2007) / Pennsylvania North (ftUS)
epsg:3651,NAD83(NSRS2007) / Pennsylvania South
epsg:3652,NAD83(NSRS2007) / Pennsylvania South (ftUS)
epsg:3653,NAD83(NSRS2007) / Rhode Island
epsg:3654,NAD83(NSRS2007) / Rhode Island (ftUS)
epsg:3655,NAD83(NSRS2007) / South Carolina
epsg:3656,NAD83(NSRS2007) / South Carolina (ft)
epsg:3657,NAD83(NSRS2007) / South Dakota North
epsg:3658,NAD83(NSRS2007) / South Dakota North (ftUS)
epsg:3659,NAD83(NSRS2007) / South Dakota South
epsg:3660,NAD83(NSRS2007) / South Dakota South (ftUS)
epsg:3661,NAD83(NSRS2007) / Tennessee
epsg:3662,NAD83(NSRS2007) / Tennessee (ftUS)
epsg:3663,NAD83(NSRS2007) / Texas Central
epsg:3664,NAD83(NSRS2007) / Texas Central (ftUS)
epsg:3665,NAD83(NSRS2007) / Texas Centric Albers Equal Area
epsg:3666,NAD83(NSRS2007) / Texas Centric Lambert Conformal
epsg:3667,NAD83(NSRS2007) / Texas North
epsg:3668,NAD83(NSRS2007) / Texas North (ftUS)
epsg:3669,NAD83(NSRS2007) / Texas North Central
epsg:3670,NAD83(NSRS2007) / Texas North Central (ftUS)
epsg:3671,NAD83(NSRS2007) / Texas South
epsg:3672,NAD83(NSRS2007) / Texas South (ftUS)
epsg:3673,NAD83(NSRS2007) / Texas South Central
epsg:3674,NAD83(NSRS2007) / Texas South Central (ftUS)
epsg:3675,NAD83(NSRS2007) / Utah Central
epsg:3676,NAD83(NSRS2007) / Utah Central (ft)
epsg:3677,NAD83(NSRS2007) / Utah Central (ftUS)
epsg:3678,NAD83(NSRS2007) / Utah North
epsg:3679,NAD83(NSRS2007) / Utah North (ft)
epsg:3680,NAD83(NSRS2007) / Utah North (ftUS)
epsg:3681,NAD83(NSRS2007) / Utah South
epsg:3682,NAD83(NSRS2007) / Utah South (ft)
epsg:3683,NAD83(NSRS2007) / Utah South (ftUS)
epsg:3684,NAD83(NSRS2007) / Vermont
epsg:3685,NAD83(NSRS2007) / Virginia North
epsg:3686,NAD83(NSRS2007) / Virginia North (ftUS)
epsg:3687,NAD83(NSRS2007) / Virginia South
epsg:3688,NAD83(NSRS2007) / Virginia South (ftUS)
epsg:3689,NAD83(NSRS2007) / Washington North
epsg:3690,NAD83(NSRS2007) / Washington North (ftUS)
epsg:3691,NAD83(NSRS2007) / Washington South
epsg:3692,NAD83(NSRS2007) / Washington South (ftUS)
epsg:3693,NAD83(NSRS2007) / West Virginia North
epsg:3694,NAD83(NSRS2007) / West Virginia South
epsg:3695,NAD83(NSRS2007) / Wisconsin Central
epsg:3696,NAD83(NSRS2007) / Wisconsin Central (ftUS)
epsg:3697,NAD83(NSRS2007) / Wisconsin North
epsg:3698,NAD83(NSRS2007) / Wisconsin North (ftUS)
epsg:3699,NAD83(NSRS2007) / Wisconsin South
epsg:3700,NAD83(NSRS2007) / Wisconsin South (ftUS)
epsg:3701,NAD83(NSRS2007) / Wisconsin Transverse Mercator
epsg:3702,NAD83(NSRS2007) / Wyoming East
epsg:3703,NAD83(NSRS2007) / Wyoming East Central
epsg:3704,NAD83(NSRS2007) / Wyoming West Central
epsg:3705,NAD83(NSRS2007) / Wyoming West
epsg:3728,NAD83(NSRS2007) / Ohio North (ftUS)
epsg:3729,NAD83(NSRS2007) / Ohio South (ftUS)
epsg:3730,NAD83(NSRS2007) / Wyoming East (ftUS)
epsg:3731,NAD83(NSRS2007) / Wyoming East Central (ftUS)
epsg:3732,NAD83(NSRS2007) / Wyoming West Central (ftUS)
epsg:3733,NAD83(NSRS2007) / Wyoming West (ftUS)
epsg:3734,NAD83 / Ohio North (ftUS)
epsg:3735,NAD83 / Ohio South (ftUS)
epsg:3736,NAD83 / Wyoming East (ftUS)
epsg:3737,NAD83 / Wyoming East Central (ftUS)
epsg:3738,NAD83 / Wyoming West Central (ftUS)
epsg:3739,NAD83 / Wyoming West (ftUS)
epsg:3753,NAD83(HARN) / Ohio North (ftUS)
epsg:3754,NAD83(HARN) / Ohio South (ftUS)
epsg:3755,NAD83(HARN) / Wyoming East (ftUS)
epsg:3756,NAD83(HARN) / Wyoming East Central (ftUS)
epsg:3757,NAD83(HARN) / Wyoming West Central (ftUS)
epsg:3758,NAD83(HARN) / Wyoming West (ftUS)
epsg:3759,NAD83 / Hawaii zone 3 (ftUS)
epsg:3760,NAD83(HARN) / Hawaii zone 3 (ftUS)
epsg:3775,NAD83 / Alberta 3TM ref merid 111 W
epsg:3776,NAD83 / Alberta 3TM ref merid 114 W
epsg:3777,NAD83 / Alberta 3TM ref merid 117 W
epsg:3778,NAD83 / Alberta 3TM ref merid 120 W
epsg:3779,NAD83(CSRS) / Alberta 3TM ref merid 111 W
epsg:3780,NAD83(CSRS) / Alberta 3TM ref merid 114 W
epsg:3781,NAD83(CSRS) / Alberta 3TM ref merid 117 W
epsg:3782,NAD83(CSRS) / Alberta 3TM ref merid 120 W
epsg:3798,NAD83 / MTQ Lambert
epsg:3799,NAD83(CSRS) / MTQ Lambert
epsg:3801,NAD83 / Alberta 3TM ref merid 120 W
epsg:3802,NAD83(CSRS) / Alberta 3TM ref merid 120 W
epsg:3814,NAD83 / Mississippi TM
epsg:3815,NAD83(HARN) / Mississippi TM
epsg:3816,NAD83(NSRS2007) / Mississippi TM